Plant,ScientificName,Category,KeyRegions,ImportanceInStory,Image,Show
Persimmon,Diospyros kaki,Fruit,Japan; China,Expanded with Meyer collections including grindstone types,Persimmon_1.webp,TRUE
Meyer lemon,Citrus x meyeri,Fruit,China near Beijing,Landmark citrus introduction associated with Frank Meyer,Lemon_1.webp,TRUE
Soybean,Glycine max,Protein/oil crop,China/Manchuria/Korea,Early formal USDA entries helped normalize soybean in US agriculture,,FALSE
Asparagus,Asparagus officinalis,Vegetable,East Asia,Included among early Meyer shipments entering USDA pipelines,,FALSE
Wild apricot,Prunus armeniaca,Fruit,Central Asia/China,Stress-tolerant fruit germplasm in Meyer collections,,FALSE
Chinese chestnut,Castanea mollissima,Nut tree,China (Gansu and nearby),Blight-resistance relevance for US chestnut crisis,,FALSE
Walnut,Juglans regia,Nut,China near Tibet,Nut crop diversity through highland collecting,,FALSE
Jujube,Ziziphus jujuba,Fruit,China,Hardy fruit species in dryland adaptation,,FALSE
Ginkgo,Ginkgo biloba,Tree/seed crop,China,Collected in final Meyer years; culturally and botanically significant,,FALSE
Ichang lemon,Citrus ichangensis,Citrus rootstock/fruit,China,Cold-hardy citrus germplasm with long-term breeding value,Lemon_2.webp,TRUE
Durum wheat,Triticum durum,Grain,Russia to US Plains,Not Fairchild's direct collection alone but central to SPI success narrative,,FALSE
Alfalfa,Medicago sativa,Forage,Peru to US West,Irrigated-land forage introduction that scaled into major farm crop,,FALSE
Garcinia tinctoria,Garcinia tinctoria,Fruit tree,Tropical introduction program,Tested as a hardier mangosteen relative when true mangosteen proved too tender,,FALSE
Pulassan,Nephelium mutabile,Fruit,Tropical introduction program,Close rambutan relative evaluated in Fairchild's mangosteen-relative strategy,,FALSE
Rambutan,Nephelium lappaceum,Fruit,Tropical introduction program,Tropical fruit relative explored as part of hardy-substitute introductions,,FALSE
Tung oil tree,Vernicia fordii,Industrial oil crop,China; US South,Seed introductions helped launch the US tung-oil industry,,FALSE
Mitsumata paper plant,Edgeworthia chrysantha,Fiber/paper plant,Chico; Atlanta,Proved adaptable in trials though not commercialized at scale for paper,,FALSE
Lacquer sumac,Toxicodendron vernicifluum,Industrial tree,Japan; US trials,Introduced for lacquer potential but curtailed due to severe dermatitis risk,,FALSE
Japanese matting rush,Juncus effusus,Fiber/craft crop,Japan; South Carolina,Tested as a replacement crop for rice regions but failed commercially,,FALSE
Chaulmoogra,Hydnocarpus spp.,Medicinal tree,Burma; Siam; American tropics,Seed collection supported medicinal oil supply for leprosy treatment programs,,FALSE
Dasheen (taro),Colocasia esculenta,Root crop,West Indies; Florida,Consolidated and tested in Brooksville as a major tropical food crop candidate,,FALSE
